NAICS Code,Kind Of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020
4481,Clothing stores,11955,12514,16212,15820,16829,15728,15971,17028,14374,16070,18992,24357,12287,13439,7584,1736,5504,11080,12098,12933,12912,14165,15038,19983
44811,Men's clothing stores,630,591,733,846,852,740,669,714,725,777,830,1003,599,615,302,86,155,303,405,379,401,0,0,604
44812,Women's clothing stores,2400,2571,3430,3438,3636,3116,3104,3169,2923,3226,3664,4274,2402,2662,1493,469,1099,2027,2373,2386,2494,2634,2726,3399
44814,Family clothing stores,6606,6905,9058,8747,9381,9009,9246,10034,8193,9347,11232,14433,6899,7535,4259,688,3089,6955,7077,7768,7561,8520,8976,12137
44819,Other clothing stores,1179,1212,1458,1285,1395,1496,1472,1496,1225,1287,1577,2296,1225,1344,788,248,569,946,1156,1158,1150,1171,1331,1685
4482,Shoe stores,2187,2722,3383,3043,3018,2796,3093,3988,2594,2721,3038,4044,2148,2701,1686,462,1624,2692,2722,2822,2643,2677,2617,3824
44831,Jewelry stores,1788,2484,2197,2378,2898,2291,2405,2519,2330,2353,2809,6188,2141,2751,1505,511,1557,2452,2679,2877,2882,2872,3245,7824
451,"Sporting goods, hobby, musical instrument, and book stores",5658,5249,6353,6253,6522,6671,6636,7608,6325,6435,7382,9665,5867,5632,5287,3484,6353,8390,8011,8218,7794,7657,8368,11319
45111,Sporting goods stores,2784,2876,3700,3678,3826,4165,4133,4368,3403,3526,3825,5337,2984,3107,3452,2599,4378,5887,5435,5163,4803,4684,4620,6799
45112,"Hobby, toy, and game stores",1131,1088,1265,1159,1235,1169,1178,1269,1254,1407,2064,2305,1174,1200,862,360,1120,1420,1409,1508,1582,1674,2412,2617
451211,Book stores,1029,585,603,650,696,613,591,1124,871,650,640,1074,990,593,406,169,275,388,437,770,620,455,496,900
452,General merchandise stores,51708,50626,58788,56991,60909,58979,58759,61777,54785,58872,66356,77926,53203,54596,63624,54576,63381,60501,61674,62304,58567,63203,66964,77086
4521,Department stores,8681,9108,10615,10422,11267,10605,10610,11542,9732,10441,13360,18276,8479,9067,8158,5941,8768,9047,9384,9879,9182,9733,11235,14624
452111,Department stores(excl. discount department stores),2367,2641,3080,3098,3287,3014,2940,3054,2858,2921,4135,6153,2146,2473,1305,11,1049,1524,1591,1739,1786,1913,2357,3492
452112,Discount dept. stores,6314,6467,7535,7324,7980,7591,7670,8488,6874,7520,9225,12123,6333,6594,6853,5930,7719,7523,7793,8140,7396,7820,8878,11132
4529,Other general merchandise stores,43027,41518,48173,46569,49642,48374,48149,50235,45053,48431,52996,59650,44724,45529,55466,48635,54613,51454,52290,52425,49385,53470,55729,62462
45291,Warehouse clubs and superstores,37147,35759,41608,39923,42586,41710,41581,43575,38806,41653,45788,51201,38811,39451,47739,41322,46287,43615,44706,45080,42093,45714,47744,53210
45299,All other gen. merchandise stores,5880,5759,6565,6646,7056,6664,6568,6660,6247,6778,7208,8449,5913,6078,7727,7313,8326,7839,7584,7345,7292,7756,7985,9252
453,Miscellaneous store retailers,9141,8938,10028,10492,12343,11183,11234,11689,10711,11933,11641,12227,10394,10302,9580,7319,9812,11544,11992,11842,11604,12400,11988,13939
4532,"Office supplies, stationery, and gift stores",2039,1940,2154,2166,2497,2359,2595,2782,2324,2846,2270,2950,2037,1953,1646,816,1220,1640,2020,2210,2153,2601,1860,2616
45321,Office supplies and stationery stores,1014,833,889,848,828,751,891,1260,893,831,770,911,963,816,868,605,707,780,869,1105,968,800,724,912
45322,"Gift, novelty, and souvenir stores",1025,1107,1265,1318,1669,1608,1704,1522,1431,2015,1500,2039,1074,1137,778,211,513,860,1151,1105,1185,1801,1136,1704
45330,Used merchandise stores,1366,1342,1526,1583,1446,1415,1456,1632,1557,1842,1624,1511,1501,1551,1028,420,882,1246,1300,1491,1357,1607,1537,1465
454,Nonstore retailers,58403,54156,58091,59140,63232,58740,62532,62064,58886,65195,71509,89716,62245,58864,66414,73022,78134,76015,79072,77168,75540,81386,91542,105157
4541,Electronic shopping and mail-order houses,49099,45894,49797,51785,55752,51981,55604,54963,51913,57196,63340,80543,53485,50716,58622,67339,72558,69954,72123,70505,68425,73023,83769,96203
45431,Fuel dealers,4656,3987,3738,2612,2193,1785,1857,1954,2041,2666,3371,4110,4240,3565,3016,2069,1741,1577,1603,1630,1885,2262,2563,3723
722,Food services and drinking places,57077,57307,66690,63999,68306,66674,66613,68469,63520,65759,63127,66004,61567,62956,47740,30017,42321,51473,54511,56358,54740,57392,50911,51497
7224,Drinking places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7225,Restaurants and other eating places,50245,50014,58242,55676,59735,58908,59300,59998,54572,56410,54745,57953,54131,54911,42238,27674,39803,48350,51178,52457,50423,52829,46984,47987
722511,Full service restaurants,24924,24992,28567,27052,29627,29112,29069,29623,26720,27595,27221,29811,27018,0,0,0,0,0,0,0,0,0,0,0
"722513, 722514, 722515",Limited service eating places,25321,25022,29675,28624,30108,29796,30231,30375,27852,28815,27524,28142,27113,27062,24159,20001,26498,28789,30214,30013,28743,29950,27249,28640
